Temps (s);CH1 (V);CH2 (V)
-2.306000e-03;-2.760;0.020
-2.304000e-03;-2.720;0.000
-2.302000e-03;-2.720;0.020
-2.300000e-03;-2.720;0.000
-2.298000e-03;-2.680;0.020
-2.296000e-03;-2.680;0.000
-2.294000e-03;-2.680;-0.020
-2.292000e-03;-2.680;0.000
-2.290000e-03;-2.640;-0.020
-2.288000e-03;-2.640;0.000
-2.286000e-03;-2.640;0.020
-2.284000e-03;-2.600;0.020
-2.282000e-03;-2.600;0.020
-2.280000e-03;-2.560;-0.020
-2.278000e-03;-2.560;0.000
-2.276000e-03;-2.520;0.020
-2.274000e-03;-2.520;0.020
-2.272000e-03;-2.520;0.020
-2.270000e-03;-2.480;0.020
-2.268000e-03;-2.480;0.020
-2.266000e-03;-2.480;0.000
-2.264000e-03;-2.440;0.000
-2.262000e-03;-2.440;0.040
-2.260000e-03;-2.400;0.000
-2.258000e-03;-2.400;-0.020
-2.256000e-03;-2.360;0.000
-2.254000e-03;-2.360;0.000
-2.252000e-03;-2.320;0.000
-2.250000e-03;-2.320;0.000
-2.248000e-03;-2.320;0.040
-2.246000e-03;-2.280;0.000
-2.244000e-03;-2.280;0.000
-2.242000e-03;-2.240;0.000
-2.240000e-03;-2.280;-0.020
-2.238000e-03;-2.240;-0.020
-2.236000e-03;-2.200;0.000
-2.234000e-03;-2.200;0.000
-2.232000e-03;-2.200;0.000
-2.230000e-03;-2.160;0.000
-2.228000e-03;-2.160;-0.020
-2.226000e-03;-2.120;0.040
-2.224000e-03;-2.120;-0.020
-2.222000e-03;-2.080;0.000
-2.220000e-03;-2.080;0.000
-2.218000e-03;-2.040;0.020
-2.216000e-03;-2.040;-0.020
-2.214000e-03;-2.000;-0.020
-2.212000e-03;-2.000;0.020
-2.210000e-03;-2.000;0.000
-2.208000e-03;-1.960;0.020
-2.206000e-03;-1.960;0.020
-2.204000e-03;-1.920;0.020
-2.202000e-03;-1.920;0.000
-2.200000e-03;-1.880;0.000
-2.198000e-03;-1.880;0.000
-2.196000e-03;-1.840;0.000
-2.194000e-03;-1.800;0.060
-2.192000e-03;-1.800;0.000
-2.190000e-03;-1.800;0.000
-2.188000e-03;-1.760;-0.020
-2.186000e-03;-1.760;-0.020
-2.184000e-03;-1.720;-0.020
-2.182000e-03;-1.720;0.000
-2.180000e-03;-1.680;-0.020
-2.178000e-03;-1.640;0.020
-2.176000e-03;-1.680;-0.020
-2.174000e-03;-1.640;0.020
-2.172000e-03;-1.600;0.000
-2.170000e-03;-1.600;0.020
-2.168000e-03;-1.600;0.000
-2.166000e-03;-1.560;0.000
-2.164000e-03;-1.520;-0.020
-2.162000e-03;-1.520;-0.020
-2.160000e-03;-1.520;0.000
-2.158000e-03;-1.440;0.000
-2.156000e-03;-1.440;0.020
-2.154000e-03;-1.440;0.020
-2.152000e-03;-1.400;0.020
-2.150000e-03;-1.400;-0.020
-2.148000e-03;-1.360;-0.020
-2.146000e-03;-1.360;0.000
-2.144000e-03;-1.320;-0.020
-2.142000e-03;-1.280;0.000
-2.140000e-03;-1.280;0.020
-2.138000e-03;-1.280;0.000
-2.136000e-03;-1.240;0.000
-2.134000e-03;-1.200;0.040
-2.132000e-03;-1.200;0.000
-2.130000e-03;-1.200;0.020
-2.128000e-03;-1.160;0.000
-2.126000e-03;-1.160;0.020
-2.124000e-03;-1.120;-0.020
-2.122000e-03;-1.120;0.020
-2.120000e-03;-1.080;0.000
-2.118000e-03;-1.080;-0.020
-2.116000e-03;-1.040;0.020
-2.114000e-03;-1.000;0.000
-2.112000e-03;-1.000;-0.020
-2.110000e-03;-0.960;0.000
-2.108000e-03;-0.920;0.000
-2.106000e-03;-0.920;0.020
-2.104000e-03;-0.880;0.020
-2.102000e-03;-0.880;0.020
-2.100000e-03;-0.840;0.000
-2.098000e-03;-0.840;0.000
-2.096000e-03;-0.800;-0.020
-2.094000e-03;-0.800;0.020
-2.092000e-03;-0.800;-0.020
-2.090000e-03;-0.760;0.000
-2.088000e-03;-0.760;0.000
-2.086000e-03;-0.720;0.020
-2.084000e-03;-0.720;0.020
-2.082000e-03;-0.680;0.000
-2.080000e-03;-0.640;0.060
-2.078000e-03;-0.640;0.020
-2.076000e-03;-0.600;0.000
-2.074000e-03;-0.560;0.000
-2.072000e-03;-0.560;0.000
-2.070000e-03;-0.560;-0.020
-2.068000e-03;-0.480;0.000
-2.066000e-03;-0.480;0.020
-2.064000e-03;-0.440;0.020
-2.062000e-03;-0.440;0.020
-2.060000e-03;-0.440;0.000
-2.058000e-03;-0.400;0.000
-2.056000e-03;-0.400;0.000
-2.054000e-03;-0.360;0.000
-2.052000e-03;-0.360;0.000
-2.050000e-03;-0.320;-0.020
-2.048000e-03;-0.280;-0.040
-2.046000e-03;-0.240;0.000
-2.044000e-03;-0.240;0.000
-2.042000e-03;-0.200;-0.020
