Temps (s);CH1 (V);CH2 (V)
-1.625000e-03;1.000;0.000
-1.624000e-03;1.040;0.000
-1.623000e-03;1.000;-0.040
-1.622000e-03;1.000;0.000
-1.621000e-03;1.000;0.000
-1.620000e-03;1.000;0.000
-1.619000e-03;1.000;0.000
-1.618000e-03;1.000;0.000
-1.617000e-03;1.000;0.020
-1.616000e-03;1.000;-0.020
-1.615000e-03;1.000;0.020
-1.614000e-03;1.000;0.000
-1.613000e-03;1.000;0.040
-1.612000e-03;0.960;0.000
-1.611000e-03;1.000;0.000
-1.610000e-03;0.960;0.000
-1.609000e-03;0.960;0.020
-1.608000e-03;0.960;0.000
-1.607000e-03;1.000;0.000
-1.606000e-03;1.000;-0.020
-1.605000e-03;0.960;0.000
-1.604000e-03;0.960;0.020
-1.603000e-03;0.960;-0.020
-1.602000e-03;1.000;-0.020
-1.601000e-03;1.000;0.000
-1.600000e-03;0.960;0.000
-1.599000e-03;0.960;0.000
-1.598000e-03;0.960;0.060
-1.597000e-03;0.960;0.000
-1.596000e-03;0.960;0.000
-1.595000e-03;0.960;0.020
-1.594000e-03;0.960;0.000
-1.593000e-03;0.960;0.000
-1.592000e-03;0.960;0.020
-1.591000e-03;0.960;-0.040
-1.590000e-03;0.960;0.000
-1.589000e-03;0.960;0.000
-1.588000e-03;0.960;0.000
-1.587000e-03;0.960;0.020
-1.586000e-03;0.960;0.000
-1.585000e-03;0.960;0.000
-1.584000e-03;0.960;-0.040
-1.583000e-03;0.960;0.000
-1.582000e-03;0.960;0.020
-1.581000e-03;0.960;0.040
-1.580000e-03;0.960;0.020
-1.579000e-03;0.960;0.000
-1.578000e-03;0.960;0.020
-1.577000e-03;0.920;0.020
-1.576000e-03;0.920;0.000
-1.575000e-03;0.920;0.000
-1.574000e-03;0.960;0.020
-1.573000e-03;0.920;0.020
-1.572000e-03;0.920;0.000
-1.571000e-03;0.920;-0.020
-1.570000e-03;0.920;0.020
-1.569000e-03;0.920;0.000
-1.568000e-03;0.920;0.000
-1.567000e-03;0.920;-0.020
-1.566000e-03;0.920;-0.060
-1.565000e-03;0.880;0.000
-1.564000e-03;0.920;0.000
-1.563000e-03;0.920;0.020
-1.562000e-03;0.880;-0.020
-1.561000e-03;0.920;0.000
-1.560000e-03;0.880;0.020
-1.559000e-03;0.880;0.060
-1.558000e-03;0.880;0.020
-1.557000e-03;0.880;0.000
-1.556000e-03;0.880;0.000
-1.555000e-03;0.840;0.000
-1.554000e-03;0.840;-0.020
-1.553000e-03;0.840;-0.020
-1.552000e-03;0.840;-0.040
-1.551000e-03;0.840;0.000
-1.550000e-03;0.840;-0.020
-1.549000e-03;0.800;-0.040
-1.548000e-03;0.800;0.000
-1.547000e-03;0.800;0.000
-1.546000e-03;0.760;0.020
-1.545000e-03;0.760;0.020
-1.544000e-03;0.760;0.000
-1.543000e-03;0.720;0.000
-1.542000e-03;0.680;0.020
-1.541000e-03;0.680;0.020
-1.540000e-03;0.640;0.000
-1.539000e-03;0.640;0.000
-1.538000e-03;0.600;-0.040
-1.537000e-03;0.600;0.020
-1.536000e-03;0.560;0.000
-1.535000e-03;0.560;-0.020
-1.534000e-03;0.520;0.020
-1.533000e-03;0.520;-0.020
-1.532000e-03;0.480;0.000
-1.531000e-03;0.480;-0.040
-1.530000e-03;0.440;0.000
-1.529000e-03;0.440;0.000
-1.528000e-03;0.400;0.020
-1.527000e-03;0.360;-0.040
-1.526000e-03;0.360;0.000
-1.525000e-03;0.320;0.000
-1.524000e-03;0.280;0.020
-1.523000e-03;0.280;0.000
-1.522000e-03;0.280;0.000
-1.521000e-03;0.240;0.020
-1.520000e-03;0.240;0.040
-1.519000e-03;0.200;0.020
-1.518000e-03;0.200;0.020
-1.517000e-03;0.160;-0.020
-1.516000e-03;0.120;0.000
-1.515000e-03;0.120;0.000
-1.514000e-03;0.080;-0.020
-1.513000e-03;0.120;-0.040
-1.512000e-03;0.040;-0.020
-1.511000e-03;0.000;0.000
-1.510000e-03;0.000;0.000
-1.509000e-03;0.000;0.060
-1.508000e-03;-0.040;0.020
-1.507000e-03;-0.080;0.000
-1.506000e-03;-0.080;0.020
-1.505000e-03;-0.120;0.000
-1.504000e-03;-0.120;0.000
-1.503000e-03;-0.160;0.000
-1.502000e-03;-0.200;-0.020
-1.501000e-03;-0.200;-0.020
-1.500000e-03;-0.200;-0.020
-1.499000e-03;-0.240;-0.020
-1.498000e-03;-0.280;0.000
-1.497000e-03;-0.280;0.000
-1.496000e-03;-0.280;0.000
-1.495000e-03;-0.360;0.000
-1.494000e-03;-0.360;0.000
-1.493000e-03;-0.360;0.000
-1.492000e-03;-0.400;0.020
-1.491000e-03;-0.400;0.000
-1.490000e-03;-0.440;0.020
-1.489000e-03;-0.480;0.020
-1.488000e-03;-0.480;0.000
-1.487000e-03;-0.520;0.000
-1.486000e-03;-0.520;0.000
-1.485000e-03;-0.560;0.000
-1.484000e-03;-0.560;0.020
-1.483000e-03;-0.600;-0.020
-1.482000e-03;-0.600;-0.020
-1.481000e-03;-0.640;0.020
-1.480000e-03;-0.640;0.000
-1.479000e-03;-0.680;0.000
-1.478000e-03;-0.720;-0.020
-1.477000e-03;-0.760;-0.060
-1.476000e-03;-0.760;0.000
-1.475000e-03;-0.760;0.000
-1.474000e-03;-0.760;0.020
-1.473000e-03;-0.800;0.000
-1.472000e-03;-0.840;0.000
-1.471000e-03;-0.840;0.020
-1.470000e-03;-0.880;0.080
-1.469000e-03;-0.880;-0.020
-1.468000e-03;-0.920;0.020
-1.467000e-03;-0.920;0.020
-1.466000e-03;-0.960;0.000
-1.465000e-03;-0.960;-0.020
-1.464000e-03;-1.000;-0.020
-1.463000e-03;-1.040;-0.040
-1.462000e-03;-1.080;-0.020
-1.461000e-03;-1.080;-0.020
-1.460000e-03;-1.120;-0.020
-1.459000e-03;-1.120;0.000
